Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
334593,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Nordrhein-Westfalen,Reichshof,50.96,7.71,OIE,Confirmed,Wild,Greater Rhea (Rhea Americana),28/10/2022,04/11/2022,,
335485,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,Emden,53.337,7.271,OIE,Confirmed,Wild,Anatidae (Incognita),28/10/2022,15/11/2022,,
336318,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,Nantes (44109),47.24535,-1.544091,OIE,Confirmed,Wild,Grey Heron:ardea Cinerea(Ardeidae),28/10/2022,25/11/2022,,
336390,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Aarhus,Randers,56.4607,10.0213,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),28/10/2022,25/11/2022,,
335063,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Alvaston  Derbyshire,52.9,-1.43,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),27/10/2022,04/11/2022,,
335203,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Bremen,Bremen,53.07,8.733,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),27/10/2022,10/11/2022,,
336389,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Ribe,Gredstedbro,55.397,8.6611,OIE,Confirmed,Wild,Eurasian Wigeon:anas Penelope(Anatidae),27/10/2022,25/11/2022,,
336391,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Vestsjaelland,Fuglebjerg,55.3273,11.6213,OIE,Confirmed,Wild,Phasianus Colchicus (Common Pheasant) - Phasanidae,27/10/2022,25/11/2022,,
334847,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Amay,50.5427,5.3237,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),26/10/2022,07/11/2022,,
335594,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Nogara,45.1877,11.064497,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),26/10/2022,17/11/2022,,
336319,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Lorraine,Mangiennes (55316),49.345226,5.510579,OIE,Confirmed,Wild,Brent Goose:branta Bernicla(Anatidae),26/10/2022,25/11/2022,,
