"species","freq","class"
"Pica hudsonia",17,"Aves"
"Pica pica",4,"Aves"
"Pigeon",15,NA
"Platalea leucorodia",1,"Aves"
"Platalea minor",9,"Aves"
"Plegadis falcinellus",3,"Aves"
"Pochard",3,"Aves"
"Podiceps auritus",1,"Aves"
"Podiceps cristatus",4,"Aves"
"Podiceps grisegena",2,"Aves"
"Podiceps major",2,"Aves"
"Podiceps nigricollis",6,"Aves"
"Podilymbus podiceps",1,"Aves"
"Procyon lotor",14,"Mammalia"
"Puma concolor",15,"Mammalia"
"Pycnonotus jocosus",1,"Aves"
"Pycnonotus sinensis",1,"Aves"
"Pygochelidon cyanoleuca",1,"Aves"
"Quiscalus mexicanus",4,"Aves"
"Quiscalus quiscula",2,"Aves"
"Rallidae (incognita)",1,"Aves"
"Razorbill (Alca Torda):Alcidae-Charadriiformes",3,"Aves"
"Red-Breasted Merganser (Mergus Serrator)",2,NA
"Red-Gartered Coot (Fulica Armillata)",1,NA
"Red-Tailed Hawk ",20,"Aves"
"Red Breasted Goose",1,NA
"Red Crested Pochard (Netta Rufina)",1,"Aves"
"Red Fox",68,"Mammalia"
"Ring-Billed Gull (Larus Delawarensis)",6,"Aves"
"Ring Necked Duck",1,"Aves"
"Rissa tridactyla",5,"Aves"
"Rock Dove (Columba Livia)",2,"Aves"
"Rook",1,"Aves"
"Ross's Goose (Anser Rossii)",1,NA
"Rough-Legged Hawk",4,"Aves"
"Royal Tern",24,"Aves"
"Ruddy Shelduck",4,"Aves"
"Rynchops niger",6,"Aves"
"Sagittarius serpentarius",1,"Aves"
"Sanderling ",4,"Aves"
"Scaly-Breasted Munia",1,"Aves"
"Scolopacidae",4,"Aves"
"Scolopacidae (Unidentified):Scolopacidae (Incognita)(Scolopacidae)",1,"Aves"
"Sea Otter (Enhydra Lutris)",1,"Mammalia"
"Secretary Bird (Sagittarius Serpentarius)",1,NA
"Skunk (Mephitis Mephitis)",31,NA
"Snow Goose (Anser Caerulescens)",15,"Aves"
"Somateria mollissima",16,"Aves"
"South American Sea Lion (Otaria Flavescens)",28,"Mammalia"
"South American Tern",4,"Aves"
"Southern River Otter (Lontra Provocax)",1,"Mammalia"
"Spatula querquedula",1,"Aves"
"Spheniscidae (incognita)",1,"Aves"
"Spheniscus humboldti",5,"Aves"
"Spilornis cheela",1,"Aves"
"Spizaetus nipalensis",2,"Aves"
"Spot-Billed Duck:anas Poecilorhyncha(Anatidae)",2,NA
"Starling",2,"Aves"
"Steller's Sea Eagle (Haliaeetus Pelagicus)",2,"Aves"
"Stercorarius chilensis",3,"Aves"
"Stercorarius parasiticus",1,"Aves"
"Sterna forsteri",1,"Aves"
"Sterna hirundinacea",8,"Aves"
"Sterna hirundo",9,"Aves"
"Sterna paradisaea",2,"Aves"
"Stork",7,NA
"Strigidae (incognita)",1,"Aves"
"Strix nebulosa",2,"Aves"
"Strix uralensis",3,"Aves"
"Strix varia",3,"Aves"
"Sula leucogaster",1,"Aves"
"Sula nebouxii",3,"Aves"
"Sula variegata",53,"Aves"
"Surf Scoter (Melanitta Perspicillata):Anatidae-Anseriformes",1,"Aves"
"Swallow",2,NA
"Swan",31,NA
"Tachybaptus ruficollis",1,"Aves"
"Tachycineta bicolor",1,"Aves"
"Tachyeres pteneres",1,"Aves"
"Tadorna ferruginea",12,"Aves"
"Tadorna tadorna",3,"Aves"
"Teal",25,NA
"Tern",2,NA
"Thalasseus acuflavidus",23,NA
"Thalasseus elegans",3,"Aves"
"Thalasseus maximus",23,"Aves"
"Thalasseus sandvicensis",1,"Aves"
"Thick-Billed Murre (Uria Lomvia):Alcidae-Charadriiformes",1,NA
"Threskiornis melanocephalus",1,"Aves"
"Tringa melanoleuca",2,"Aves"
"Tringa semipalmata",3,"Aves"
"Trumpeter Swan (Cygnus Buccinator)",3,NA
"Tufted Duck",13,"Aves"
"Tundra Swan (Cygnus Columbianus)",23,"Aves"
"Turdus grayi",1,"Aves"
"Turdus migratorius",1,"Aves"
"Turdus pallidus",1,"Aves"
"Turkey Vulture (Cathartes Aura)",17,"Aves"
"Tursiops truncatus (fau)",1,"Mammalia"
"Tyto alba",4,"Aves"
"Tyto longimembris",1,"Aves"
"Unspecified Bird",220,NA
"Unspecified Mammal",6,NA
"Ural Owl",3,"Aves"
"Uria aalge",16,"Aves"
"Uria lomvia",2,"Aves"
"Urile penicillatus",1,NA
"Ursus americanus",6,"Mammalia"
"Ursus arctos",3,"Mammalia"
"Vanellus spinosus",2,"Aves"
"Virginia Opossum (Didelphis Virginiana)",2,"Mammalia"
"Vulpes vulpes",88,"Mammalia"
"Vultur gryphus",1,"Aves"
"Vulture",6,NA
"Wader",1,NA
"Western Grebe (Aechmophorus Occidentalis):Podicipedidae-Procellariiformes",6,"Aves"
"Whiskered Tern",2,"Aves"
"White-Naped Crane:grus Vipio(Gruidae)",9,"Aves"
"White Tailed Eagle (Haliaeetus Albicilla)",21,"Aves"
"Whooper Swan:cygnus Cygnus(Anatidae)",90,NA
"Wild Cat",1,"Mammalia"
"Wild Duck",6,NA
"Wild Fox",4,NA
"Wild Tundra Swan",1,NA
"Wood Duck (Aix Sponsa) (Anatidae)",9,"Aves"
"Wood Sandpiper",1,"Aves"
"Xema sabini",1,"Aves"
"Zosterops japonicus",1,"Aves"
