"","species","freq","class","order","family","genus"
"259","Larus argentatus","458","Aves","Charadriiformes","Laridae","Larus"
"260","Larus armenicus","1","Aves","Charadriiformes","Laridae","Larus"
"261","Larus audouinii","1","Aves","Charadriiformes","Laridae","Ichthyaetus"
"262","Larus brunicephalus","14","Aves","Charadriiformes","Laridea","Chroicocephalus"
"263","Larus cachinnans","13","Aves","Charadriiformes","Laridae","Larus"
"264","Larus canus","41","Aves","Charadriiformes","Laridae","Larus"
"265","Larus fuscus","28","Aves","Charadriiformes","Laridae","Larus"
"266","Larus genei","4","Aves","Charadriiformes","Laridae","Chroicocephalus"
"267","Larus hyperboreus","2","Aves","Charadriiformes","Laridae","Larus"
"268","Larus ichthyaetus","17","Aves","Charadriiformes","Laridae","Ichthyaetus"
"269","Larus marinus","64","Aves","Charadriiformes","Laridae","Larus"
"270","Larus michahellis","36","Aves","Charadriiformes","Laridae","Larus"
"271","Larus novaehollandiae","10","Aves","Charadriiformes","Laridae","Chroicocephalus"
"272","Larus ridibundus","195","Aves","Charadriiformes","Laridae","Chroicocephalus"
"273","Larus scopulinus","2","Aves","Charadriiformes","Laridae","Chroicocephalus"
"274","Larus smithsonianus","1","Aves","Charadriiformes","Laridae","Larus"
"275","Lesser Black-Backed Gull","19","Aves","Charadriiformes","Laridae","Larus"
"276","Little Egret","3","Aves","Pelecaniformes","Ardeidae","Egretta"
"277","Little Grebe","5","Aves","Podicipediformes","Podicipedidae","Tachybaptus"
"278","Little Owl","1","Aves","Strigiformes","Strigidae","Athene"
"279","Lophura nycthemera","1","Aves","Galliformes","Phasianidae","Lophura"
"280","Magpie","19","Aves","Passeriformes","Corvidae",""
"281","Mallard","143","Aves","Anseriformes","Anatidae","Anas"
"282","Marbled Teal","1","Aves","Anseriformes","Anatidae","Marmaronetta"
"283","Marmaronetta angustirostris","1","Aves","Anseriformes","Anatidae","Marmaronetta"
"284","Mediterranean Gull","25","Aves","Charadriiformes","Laridae","Ichthyaetus"
"285","Melopsittacus undulatus","2","Aves","Psittaciformes","Psittaculidae","Melopsittacus"
"286","Mergus merganser","5","Aves","Anseriformes","Anatidae","Mergus"
"287","Mew Gull","22","Aves","Charadriiformes","Laridae","Larus"
"288","Microcarbo coronatus","1","Aves","Suliformes","Phalacrocoracidae","Microcarbo"
"289","Milvus milvus","15","Aves","Accipitriformes","Accipitridae","Milvus"
"290","Morus bassanus","344","Aves","Suliformes","Sulidae","Morus"
"291","Morus capensis","1","Aves","Suliformes","Sulidae","Morus"
"292","Motacillidae","2","Aves","Passeriformes","Motacillidae",NA
"293","Muscovy Duck","1","Aves","Anseriformes","Anatidae","Cairina"
"294","Mute Swan","1057","Aves","Anseriformes","Anatidae","Cygnus"
"295","Netta rufina","2","Aves","Anseriformes","Anatidae","Netta"
"296","Northern Bald Ibis","1","Aves","Pelecaniformes","Threskiornithidae","Geronticus"
"297","Northern Crested Caracara","1","Aves","Falconiformes","Falconidae","Caracara"
"298","Northern Fulmar","4","Aves","Procellariiformes","Procellariidae","Fulmarus"
"299","Northern Gannet","211","Aves","Suliformes","Sulidae","Morus"
