"","common_name","common_code","sci_name","sci_code"
"244","Black-headed Gull","bkhgul","Chroicocephalus ridibundus","bkhgul"
"245","Gray Gull","grygul","Leucophaeus modestus","grygul"
"246","Laughing Gull","laugul","Leucophaeus atricilla","laugul"
"247","Franklin's Gull","fragul","Leucophaeus pipixcan","fragul"
"248","Audouin's Gull","audgul1","Ichthyaetus audouinii","audgul1"
"249","Mediterranean Gull","medgul1","Ichthyaetus melanocephalus","medgul1"
"250","Common Gull","mewgul","Larus canus","mewgul"
"251","Ring-billed Gull","ribgul","Larus delawarensis","ribgul"
"252","Caspian Gull","casgul2","Larus cachinnans","casgul2"
"253","Kelp Gull",NA,"Larus dominicanus",NA
"254","Herring Gull","hergul","Larus argentatus","hergul"
"255","Yellow-legged Gull","yelgul1","Larus michahellis","yelgul1"
"256","Great Black-backed Gull","gbbgul","Larus marinus","gbbgul"
"257","Glaucous Gull","glagul","Larus hyperboreus","glagul"
"258","Lesser Black-backed Gull","lbbgul","Larus fuscus","lbbgul"
"259","Glaucous-winged Gull","glwgul","Larus glaucescens","glwgul"
"260","Slaty-backed Gull","slbgul","Larus schistisagus","slbgul"
"261","Iceland Gull","y00478","Larus glaucoides","y00478"
"262","Little Tern","litter1","Sternula albifrons","litter1"
"263","Least Tern","leater1","Sternula antillarum","leater1"
"264","Caspian Tern","caster1","Hydroprogne caspia","caster1"
"265","Black Tern","blkter","Chlidonias niger","blkter"
"266","White-winged Tern","whwter","Chlidonias leucopterus","whwter"
"267","Forster's Tern","forter","Sterna forsteri","forter"
"268","Arctic Tern","arcter","Sterna paradisaea","arcter"
"269","Common Tern","comter","Sterna hirundo","comter"
"270","Roseate Tern","roster","Sterna dougallii","roster"
"271","Sandwich Tern","santer1","Thalasseus sandvicensis","santer1"
"272","Elegant Tern","eleter1","Thalasseus elegans","eleter1"
"273","Royal Tern","royter1","Thalasseus maximus","royter1"
"274","Red-throated Loon","retloo","Gavia stellata","retloo"
"275","Arctic Loon","arcloo","Gavia arctica","arcloo"
"276","Pacific Loon","pacloo","Gavia pacifica","pacloo"
"277","Common Loon","comloo","Gavia immer","comloo"
"278","Yellow-billed Loon","yebloo","Gavia adamsii","yebloo"
"279","Yelkouan Shearwater","levshe1","Puffinus yelkouan","levshe1"
"280","Balearic Shearwater","balshe1","Puffinus mauretanicus","balshe1"
"281","Black Stork","blasto1","Ciconia nigra","blasto1"
"282","White Stork","whisto1","Ciconia ciconia","whisto1"
"283","Magnificent Frigatebird","magfri","Fregata magnificens","magfri"
"284","Northern Gannet","norgan","Morus bassanus","norgan"
"285","Pygmy Cormorant","pygcor2","Microcarbo pygmaeus","pygcor2"
"286","Great Cormorant","grecor","Phalacrocorax carbo","grecor"
"287","European Shag","eursha1","Gulosus aristotelis","eursha1"
"288","Double-crested Cormorant","doccor","Nannopterum auritum","doccor"
"289","Great White Pelican","grwpel1","Pelecanus onocrotalus","grwpel1"
"290","Hamerkop","hamerk1","Scopus umbretta","hamerk1"
"291","Great Bittern","grebit1","Botaurus stellaris","grebit1"
"292","American Bittern","amebit","Botaurus lentiginosus","amebit"
"293","Least Bittern","leabit","Ixobrychus exilis","leabit"
"294","Little Bittern","litbit1","Ixobrychus minutus","litbit1"
"295","Yellow-crowned Night Heron","ycnher","Nyctanassa violacea","ycnher"
"296","Black-crowned Night Heron","bcnher","Nycticorax nycticorax","bcnher"
"297","Little Blue Heron","libher","Egretta caerulea","libher"
"298","Tricolored Heron","triher","Egretta tricolor","triher"
"299","Snowy Egret","snoegr","Egretta thula","snoegr"
"300","Little Egret","litegr","Egretta garzetta","litegr"
"301","Western Reef-Heron","werher","Egretta gularis","werher"
"302","Striated Heron","strher","Butorides striata","strher"
"303","Green Heron","grnher","Butorides virescens","grnher"
"304","Squacco Heron","squher1","Ardeola ralloides","squher1"
"305","Indian Pond-Heron","inpher1","Ardeola grayii","inpher1"
"306","Chinese Pond-Heron","chpher1","Ardeola bacchus","chpher1"
"307","Great Egret","greegr","Ardea alba","greegr"
"308","Gray Heron","graher1","Ardea cinerea","graher1"
"309","Great Blue Heron","grbher3","Ardea herodias","grbher3"
"310","Purple Heron","purher1","Ardea purpurea","purher1"
"311","White Ibis","whiibi","Eudocimus albus","whiibi"
"312","Glossy Ibis","gloibi","Plegadis falcinellus","gloibi"
"313","Black-faced Ibis","bkfibi1","Theristicus melanopis","bkfibi1"
"314","Hadada Ibis",NA,"Bostrychia hagedash",NA
"315","Eurasian Spoonbill","eurspo1","Platalea leucorodia","eurspo1"
"316","Turkey Vulture","turvul","Cathartes aura","turvul"
"317","Osprey","osprey","Pandion haliaetus","osprey"
"318","Black-winged Kite","bkskit1","Elanus caeruleus","bkskit1"
"319","Bearded Vulture","lammer1","Gypaetus barbatus","lammer1"
"320","Egyptian Vulture","egyvul1","Neophron percnopterus","egyvul1"
"321","European Honey-buzzard","euhbuz1","Pernis apivorus","euhbuz1"
"322","Oriental Honey-buzzard","orihob2","Pernis ptilorhynchus","orihob2"
"323","Swallow-tailed Kite","swtkit","Elanoides forficatus","swtkit"
"324","Cinereous Vulture","cinvul1","Aegypius monachus","cinvul1"
"325","Hooded Vulture","hoovul1","Necrosyrtes monachus","hoovul1"
"326","White-backed Vulture","whbvul1","Gyps africanus","whbvul1"
"327","Himalayan Griffon","himgri1","Gyps himalayensis","himgri1"
"328","Eurasian Griffon","eurgri1","Gyps fulvus","eurgri1"
"329","Short-toed Snake-Eagle","shteag1","Circaetus gallicus","shteag1"
"330","Lesser Spotted Eagle","leseag1","Clanga pomarina","leseag1"
"331","Greater Spotted Eagle","grseag1","Clanga clanga","grseag1"
"332","Booted Eagle","booeag1","Hieraaetus pennatus","booeag1"
"333","Steppe Eagle","steeag1","Aquila nipalensis","steeag1"
"334","Spanish Eagle","spaeag1","Aquila adalberti","spaeag1"
"335","Imperial Eagle","impeag1","Aquila heliaca","impeag1"
"336","Golden Eagle","goleag","Aquila chrysaetos","goleag"
"337","Bonelli's Eagle","boneag2","Aquila fasciata","boneag2"
"338","Western Marsh Harrier","wemhar1","Circus aeruginosus","wemhar1"
"339","Eastern Marsh Harrier","easmah1","Circus spilonotus","easmah1"
"340","Hen Harrier","norhar1","Circus cyaneus","norhar1"
"341","Northern Harrier","norhar2","Circus hudsonius","norhar2"
"342","Pallid Harrier","palhar1","Circus macrourus","palhar1"
"343","Montagu's Harrier","monhar1","Circus pygargus","monhar1"
"344","Levant Sparrowhawk","levspa1","Accipiter brevipes","levspa1"
"345","Eurasian Sparrowhawk","eurspa1","Accipiter nisus","eurspa1"
"346","American Goshawk",NA,"Accipiter atricapillus",NA
"347","Red Kite","redkit1","Milvus milvus","redkit1"
"348","Black Kite","blakit1","Milvus migrans","blakit1"
"349","Brahminy Kite","brakit1","Haliastur indus","brakit1"
"350","Bald Eagle","baleag","Haliaeetus leucocephalus","baleag"
"351","Harris's Hawk","hrshaw","Parabuteo unicinctus","hrshaw"
"352","Black-chested Buzzard-Eagle","bcbeag1","Geranoaetus melanoleucus","bcbeag1"
"353","Red-tailed Hawk","rethaw","Buteo jamaicensis","rethaw"
"354","Rough-legged Hawk","rolhaw","Buteo lagopus","rolhaw"
"355","Ferruginous Hawk","ferhaw","Buteo regalis","ferhaw"
"356","Common Buzzard","combuz1","Buteo buteo","combuz1"
"357","Barn Owl","brnowl","Tyto alba","brnowl"
"358","Eurasian Scops-Owl","eursco1","Otus scops","eursco1"
"359","Snowy Owl","snoowl1","Bubo scandiacus","snoowl1"
"360","Great Horned Owl","grhowl","Bubo virginianus","grhowl"
"361","Northern Hawk Owl","nohowl","Surnia ulula","nohowl"
"362","Eurasian Pygmy-Owl","eupowl1","Glaucidium passerinum","eupowl1"
"363","Little Owl","litowl1","Athene noctua","litowl1"
"364","Tawny Owl","tawowl1","Strix aluco","tawowl1"
"365","Long-eared Owl","loeowl","Asio otus","loeowl"
"366","Short-eared Owl","sheowl","Asio flammeus","sheowl"
"367","Eurasian Hoopoe","hoopoe","Upupa epops","hoopoe"
"368","Southern Ground-Hornbill","soghor1","Bucorvus leadbeateri","soghor1"
"369","Common Kingfisher","comkin1","Alcedo atthis","comkin1"
"370","Laughing Kookaburra",NA,"Dacelo novaeguineae",NA
"371","White-throated Kingfisher","whtkin2","Halcyon smyrnensis","whtkin2"
"372","Belted Kingfisher","belkin1","Megaceryle alcyon","belkin1"
"373","Pied Kingfisher","piekin1","Ceryle rudis","piekin1"
"374","European Bee-eater","eubeat1","Merops apiaster","eubeat1"
"375","European Roller","eurrol1","Coracias garrulus","eurrol1"
"376","Eurasian Wryneck","eurwry","Jynx torquilla","eurwry"
"377","Yellow-bellied Sapsucker","yebsap","Sphyrapicus varius","yebsap"
"378","Eurasian Three-toed Woodpecker","ettwoo1","Picoides tridactylus","ettwoo1"
"379","Middle Spotted Woodpecker","miswoo1","Dendrocoptes medius","miswoo1"
"380","White-backed Woodpecker","whbwoo1","Dendrocopos leucotos","whbwoo1"
"381","Great Spotted Woodpecker","grswoo","Dendrocopos major","grswoo"
"382","Syrian Woodpecker","syrwoo1","Dendrocopos syriacus","syrwoo1"
"383","Lesser Spotted Woodpecker","leswoo1","Dryobates minor","leswoo1"
"384","Gray-headed Woodpecker","gyfwoo1","Picus canus","gyfwoo1"
"385","Eurasian Green Woodpecker","eugwoo2","Picus viridis","eugwoo2"
"386","Iberian Green Woodpecker","grnwoo3","Picus sharpei","grnwoo3"
"387","Black Woodpecker","blawoo1","Dryocopus martius","blawoo1"
"388","Northern Flicker","norfli","Colaptes auratus","norfli"
"389","Crested Caracara","y00678","Caracara plancus","y00678"
"390","Yellow-headed Caracara","yehcar1","Daptrius chimachima","yehcar1"
"391","Lesser Kestrel","leskes1","Falco naumanni","leskes1"
"392","Eurasian Kestrel","eurkes","Falco tinnunculus","eurkes"
"393","American Kestrel","amekes","Falco sparverius","amekes"
"394","Red-footed Falcon","reffal1","Falco vespertinus","reffal1"
"395","Eleonora's Falcon","elefal1","Falco eleonorae","elefal1"
"396","Merlin","merlin","Falco columbarius","merlin"
"397","Aplomado Falcon","aplfal","Falco femoralis","aplfal"
"398","Peregrine Falcon","perfal","Falco peregrinus","perfal"
"399","Cockatiel",NA,"Nymphicus hollandicus",NA
"400","Galah",NA,"Eolophus roseicapilla",NA
"401","Sulphur-crested Cockatoo",NA,"Cacatua galerita",NA
"402","Australian King-Parrot",NA,"Alisterus scapularis",NA
"403","Alexandrine Parakeet","alepar2","Psittacula eupatria","alepar2"
"404","Rose-ringed Parakeet","rorpar","Psittacula krameri","rorpar"
"405","Plum-headed Parakeet","plhpar1","Psittacula cyanocephala","plhpar1"
"406","Red-crowned Parakeet","refpar4","Cyanoramphus novaezelandiae","refpar4"
"407","Crimson Rosella",NA,"Platycercus elegans",NA
"408","Eastern Rosella","easros1","Platycercus eximius","easros1"
"409","Red-rumped Parrot",NA,"Psephotus haematonotus",NA
"410","Budgerigar",NA,"Melopsittacus undulatus",NA
"411","Rainbow Lorikeet",NA,"Trichoglossus moluccanus",NA
"412","Rosy-faced Lovebird","peflov","Agapornis roseicollis","peflov"
"413","Monk Parakeet","monpar","Myiopsitta monachus","monpar"
"414","Scaly-headed Parrot","schpar1","Pionus maximiliani","schpar1"
"415","Yellow-crowned Parrot","ywcpar","Amazona ochrocephala","ywcpar"
"416","Turquoise-fronted Parrot","bufpar","Amazona aestiva","bufpar"
"417","Mealy Parrot","meapar","Amazona farinosa","meapar"
"418","Orange-winged Parrot","orwpar","Amazona amazonica","orwpar"
"419","Brown-throated Parakeet","brtpar1","Eupsittula pertinax","brtpar1"
"420","Nanday Parakeet","bkhpar","Aratinga nenday","bkhpar"
"421","Blue-and-yellow Macaw","baymac","Ara ararauna","baymac"
"422","Scarlet Macaw","scamac1","Ara macao","scamac1"
"423","Red-and-green Macaw","ragmac1","Ara chloropterus","ragmac1"
"424","Blue-crowned Parakeet","bucpar","Thectocercus acuticaudatus","bucpar"
