"","common_name","common_code","sci_name","sci_code"
"214","Great Knot",NA,"Calidris tenuirostris",NA
"215","Red Knot","redkno","Calidris canutus","redkno"
"216","Ruff",NA,"Calidris pugnax",NA
"217","Broad-billed Sandpiper",NA,"Calidris falcinellus",NA
"218","Sharp-tailed Sandpiper",NA,"Calidris acuminata",NA
"219","Curlew Sandpiper",NA,"Calidris ferruginea",NA
"220","Stilt Sandpiper","stisan","Calidris himantopus","stisan"
"221","Temminck's Stint",NA,"Calidris temminckii",NA
"222","Long-toed Stint",NA,"Calidris subminuta",NA
"223","Red-necked Stint",NA,"Calidris ruficollis",NA
"224","Buff-breasted Sandpiper","bubsan","Calidris subruficollis","bubsan"
"225","Sanderling","sander","Calidris alba","sander"
"226","Dunlin","dunlin","Calidris alpina","dunlin"
"227","Purple Sandpiper","pursan","Calidris maritima","pursan"
"228","Baird's Sandpiper","baisan","Calidris bairdii","baisan"
"229","Little Stint",NA,"Calidris minuta",NA
"230","White-rumped Sandpiper",NA,"Calidris fuscicollis",NA
"231","Least Sandpiper","leasan","Calidris minutilla","leasan"
"232","Pectoral Sandpiper","pecsan","Calidris melanotos","pecsan"
"233","Western Sandpiper","wessan","Calidris mauri","wessan"
"234","Semipalmated Sandpiper","semsan","Calidris pusilla","semsan"
"235","Oriental Pratincole",NA,"Glareola maldivarum",NA
"236","Long-tailed Jaeger",NA,"Stercorarius longicaudus",NA
"237","Parasitic Jaeger","parjae","Stercorarius parasiticus","parjae"
"238","Pomarine Jaeger","pomjae","Stercorarius pomarinus","pomjae"
"239","Little Gull",NA,"Hydrocoloeus minutus",NA
"240","Ross's Gull",NA,"Rhodostethia rosea",NA
"241","Ivory Gull",NA,"Pagophila eburnea",NA
"242","Sabine's Gull","sabgul","Xema sabini","sabgul"
"243","Bonaparte's Gull","bongul","Chroicocephalus philadelphia","bongul"
"244","Black-headed Gull",NA,"Chroicocephalus ridibundus",NA
"245","Gray Gull",NA,"Leucophaeus modestus",NA
"246","Laughing Gull","laugul","Leucophaeus atricilla","laugul"
"247","Franklin's Gull","fragul","Leucophaeus pipixcan","fragul"
"248","Audouin's Gull","audgul1","Ichthyaetus audouinii","audgul1"
"249","Mediterranean Gull",NA,"Ichthyaetus melanocephalus",NA
"250","Common Gull",NA,"Larus canus",NA
"251","Ring-billed Gull","ribgul","Larus delawarensis","ribgul"
"252","Caspian Gull",NA,"Larus cachinnans",NA
"253","Kelp Gull","kelgul","Larus dominicanus","kelgul"
"254","Herring Gull","hergul","Larus argentatus","hergul"
"255","Yellow-legged Gull","yelgul1","Larus michahellis","yelgul1"
"256","Great Black-backed Gull","gbbgul","Larus marinus","gbbgul"
"257","Glaucous Gull","glagul","Larus hyperboreus","glagul"
"258","Lesser Black-backed Gull","lbbgul","Larus fuscus","lbbgul"
"259","Glaucous-winged Gull","glwgul","Larus glaucescens","glwgul"
"260","Slaty-backed Gull",NA,"Larus schistisagus",NA
"261","Iceland Gull","y00478","Larus glaucoides","y00478"
"262","Little Tern",NA,"Sternula albifrons",NA
"263","Least Tern","leater1","Sternula antillarum","leater1"
"264","Caspian Tern","caster1","Hydroprogne caspia","caster1"
"265","Black Tern","blkter","Chlidonias niger","blkter"
"266","White-winged Tern",NA,"Chlidonias leucopterus",NA
"267","Forster's Tern","forter","Sterna forsteri","forter"
"268","Arctic Tern","arcter","Sterna paradisaea","arcter"
"269","Common Tern","comter","Sterna hirundo","comter"
"270","Roseate Tern",NA,"Sterna dougallii",NA
"271","Sandwich Tern","santer1","Thalasseus sandvicensis","santer1"
"272","Elegant Tern","eleter1","Thalasseus elegans","eleter1"
"273","Royal Tern","royter1","Thalasseus maximus","royter1"
"274","Red-throated Loon","retloo","Gavia stellata","retloo"
"275","Arctic Loon",NA,"Gavia arctica",NA
"276","Pacific Loon","pacloo","Gavia pacifica","pacloo"
"277","Common Loon","comloo","Gavia immer","comloo"
"278","Yellow-billed Loon",NA,"Gavia adamsii",NA
"279","Yelkouan Shearwater",NA,"Puffinus yelkouan",NA
"280","Balearic Shearwater",NA,"Puffinus mauretanicus",NA
"281","Black Stork",NA,"Ciconia nigra",NA
"282","White Stork",NA,"Ciconia ciconia",NA
"283","Magnificent Frigatebird","magfri","Fregata magnificens","magfri"
"284","Northern Gannet","norgan","Morus bassanus","norgan"
"285","Pygmy Cormorant",NA,"Microcarbo pygmaeus",NA
"286","Great Cormorant","grecor","Phalacrocorax carbo","grecor"
"287","European Shag",NA,"Gulosus aristotelis",NA
"288","Double-crested Cormorant","doccor","Nannopterum auritum","doccor"
"289","Great White Pelican",NA,"Pelecanus onocrotalus",NA
"290","Hamerkop",NA,"Scopus umbretta",NA
"291","Great Bittern",NA,"Botaurus stellaris",NA
"292","American Bittern","amebit","Botaurus lentiginosus","amebit"
"293","Least Bittern","leabit","Ixobrychus exilis","leabit"
"294","Little Bittern",NA,"Ixobrychus minutus",NA
"295","Yellow-crowned Night Heron","ycnher","Nyctanassa violacea","ycnher"
"296","Black-crowned Night Heron","bcnher","Nycticorax nycticorax","bcnher"
"297","Little Blue Heron","libher","Egretta caerulea","libher"
"298","Tricolored Heron","triher","Egretta tricolor","triher"
"299","Snowy Egret","snoegr","Egretta thula","snoegr"
"300","Little Egret",NA,"Egretta garzetta",NA
"301","Western Reef-Heron",NA,"Egretta gularis",NA
"302","Striated Heron",NA,"Butorides striata",NA
"303","Green Heron","grnher","Butorides virescens","grnher"
"304","Squacco Heron",NA,"Ardeola ralloides",NA
"305","Indian Pond-Heron","inpher1","Ardeola grayii","inpher1"
"306","Chinese Pond-Heron",NA,"Ardeola bacchus",NA
"307","Great Egret","greegr","Ardea alba","greegr"
"308","Gray Heron",NA,"Ardea cinerea",NA
"309","Great Blue Heron","grbher3","Ardea herodias","grbher3"
"310","Purple Heron",NA,"Ardea purpurea",NA
"311","White Ibis","whiibi","Eudocimus albus","whiibi"
"312","Glossy Ibis","gloibi","Plegadis falcinellus","gloibi"
"313","Black-faced Ibis",NA,"Theristicus melanopis",NA
"314","Hadada Ibis","hadibi1","Bostrychia hagedash","hadibi1"
"315","Eurasian Spoonbill",NA,"Platalea leucorodia",NA
"316","Turkey Vulture","turvul","Cathartes aura","turvul"
"317","Osprey","osprey","Pandion haliaetus","osprey"
"318","Black-winged Kite",NA,"Elanus caeruleus",NA
"319","Bearded Vulture",NA,"Gypaetus barbatus",NA
"320","Egyptian Vulture",NA,"Neophron percnopterus",NA
"321","European Honey-buzzard",NA,"Pernis apivorus",NA
"322","Oriental Honey-buzzard","orihob2","Pernis ptilorhynchus","orihob2"
"323","Swallow-tailed Kite","swtkit","Elanoides forficatus","swtkit"
"324","Cinereous Vulture","cinvul1","Aegypius monachus","cinvul1"
"325","Hooded Vulture",NA,"Necrosyrtes monachus",NA
"326","White-backed Vulture",NA,"Gyps africanus",NA
"327","Himalayan Griffon",NA,"Gyps himalayensis",NA
"328","Eurasian Griffon","eurgri1","Gyps fulvus","eurgri1"
"329","Short-toed Snake-Eagle",NA,"Circaetus gallicus",NA
"330","Lesser Spotted Eagle",NA,"Clanga pomarina",NA
"331","Greater Spotted Eagle",NA,"Clanga clanga",NA
"332","Booted Eagle","booeag1","Hieraaetus pennatus","booeag1"
"333","Steppe Eagle",NA,"Aquila nipalensis",NA
"334","Spanish Eagle",NA,"Aquila adalberti",NA
"335","Imperial Eagle",NA,"Aquila heliaca",NA
"336","Golden Eagle","goleag","Aquila chrysaetos","goleag"
"337","Bonelli's Eagle",NA,"Aquila fasciata",NA
"338","Western Marsh Harrier",NA,"Circus aeruginosus",NA
"339","Eastern Marsh Harrier",NA,"Circus spilonotus",NA
"340","Hen Harrier",NA,"Circus cyaneus",NA
"341","Northern Harrier","norhar2","Circus hudsonius","norhar2"
"342","Pallid Harrier",NA,"Circus macrourus",NA
"343","Montagu's Harrier",NA,"Circus pygargus",NA
"344","Levant Sparrowhawk",NA,"Accipiter brevipes",NA
"345","Eurasian Sparrowhawk",NA,"Accipiter nisus",NA
"346","American Goshawk","norgos","Accipiter atricapillus","norgos"
"347","Red Kite","redkit1","Milvus milvus","redkit1"
"348","Black Kite","blakit1","Milvus migrans","blakit1"
"349","Brahminy Kite",NA,"Haliastur indus",NA
"350","Bald Eagle","baleag","Haliaeetus leucocephalus","baleag"
"351","Harris's Hawk","hrshaw","Parabuteo unicinctus","hrshaw"
"352","Black-chested Buzzard-Eagle","bcbeag1","Geranoaetus melanoleucus","bcbeag1"
"353","Red-tailed Hawk","rethaw","Buteo jamaicensis","rethaw"
"354","Rough-legged Hawk","rolhaw","Buteo lagopus","rolhaw"
"355","Ferruginous Hawk","ferhaw","Buteo regalis","ferhaw"
"356","Common Buzzard",NA,"Buteo buteo",NA
"357","Barn Owl","brnowl","Tyto alba","brnowl"
"358","Eurasian Scops-Owl",NA,"Otus scops",NA
"359","Snowy Owl","snoowl1","Bubo scandiacus","snoowl1"
"360","Great Horned Owl","grhowl","Bubo virginianus","grhowl"
"361","Northern Hawk Owl","nohowl","Surnia ulula","nohowl"
"362","Eurasian Pygmy-Owl",NA,"Glaucidium passerinum",NA
"363","Little Owl","litowl1","Athene noctua","litowl1"
"364","Tawny Owl",NA,"Strix aluco",NA
"365","Long-eared Owl","loeowl","Asio otus","loeowl"
"366","Short-eared Owl","sheowl","Asio flammeus","sheowl"
"367","Eurasian Hoopoe",NA,"Upupa epops",NA
"368","Southern Ground-Hornbill",NA,"Bucorvus leadbeateri",NA
"369","Common Kingfisher","comkin1","Alcedo atthis","comkin1"
"370","Laughing Kookaburra","laukoo1","Dacelo novaeguineae","laukoo1"
"371","White-throated Kingfisher",NA,"Halcyon smyrnensis",NA
"372","Belted Kingfisher","belkin1","Megaceryle alcyon","belkin1"
"373","Pied Kingfisher","piekin1","Ceryle rudis","piekin1"
"374","European Bee-eater","eubeat1","Merops apiaster","eubeat1"
"375","European Roller",NA,"Coracias garrulus",NA
"376","Eurasian Wryneck",NA,"Jynx torquilla",NA
