"","sp_edit","counts","order","family","genus"
"34","Columbidae",2,"Columbiformes","Columbidae",NA
"35","Common Coot",6,"Gruiformes","Rallidae","Fulica"
"36","Common Eider",13,"Anseriformes","Anatidae","Somateria"
"37","Common Goldeneye",2,"Anseriformes","Anatidae","Bucephala"
"38","Common Kestrel",22,"Falconiformes","Falconidae","Falco"
"39","Common Loon",1,"Gaviiformes","Gaviidae","Gavia"
"40","Common Moorhen",5,"Gruiformes","Rallidae","Gallinula"
"41","Common Murre",15,"Charadriiformes","Alcidae","Uria"
"42","Common Pheasant",5,"Galliformes","Phasianidae","Phasianus"
"43","Common Pochard",11,"Anseriformes","Anatidae","Aythya"
"44","Common Raven",2,"Passeriformes","Corvidae","Corvus"
"45","Common Shelduck",9,"Anseriformes","Anatidae","Tadorna"
"46","Common Tern",13,"Charadriiformes","Laridae","Sterna"
"47","Common Wood-Pigeon",3,NA,NA,NA
"48","Coot",8,"Gruiformes","Rallidae","Fulica"
