"observation.date","Species","Country","Serotype","source","flu","geometry","X","Y","serotype_HN"
2021-03-01,"Cygnus olor","Norway","H5N8","woah",1,"c(4074791.24339674, 3979479.46326927)",4074791.24339674,3979479.46326927,"H5N8"
2021-02-12,"Cygnus olor","Norway","H5N8","woah",1,"c(4058484.55691205, 4143167.51415985)",4058484.55691205,4143167.51415985,"H5N8"
2021-03-10,"Branta leucopsis","Netherlands","H5N1","woah",1,"c(3996483.77650689, 3304395.48532349)",3996483.77650689,3304395.48532349,"H5N1"
2021-02-21,"Cygnus olor","Czech Republic","H5N8","woah",1,"c(4681296.3350014, 3020527.4294647)",4681296.3350014,3020527.4294647,"H5N8"
2021-02-28,"Cygnus olor","Czech Republic","H5N8","woah",1,"c(4636925.29882499, 3003256.30441078)",4636925.29882499,3003256.30441078,"H5N8"
2021-03-03,"Cygnus olor","Czech Republic","H5N8","woah",1,"c(4572443.07232997, 3030084.14519145)",4572443.07232997,3030084.14519145,"H5N8"
2021-02-25,"Cygnus olor","Czech Republic","H5N8","woah",1,"c(4820992.35526088, 3057140.98908735)",4820992.35526088,3057140.98908735,"H5N8"
2021-02-23,"Anas platyrhynchos","Czech Republic","H5N8","woah",1,"c(4877692.7208943, 2931795.51293449)",4877692.7208943,2931795.51293449,"H5N8"
2021-03-04,"Numenius arquata","Netherlands","H5N4","woah",1,"c(4014532.9176635, 3349876.16329899)",4014532.9176635,3349876.16329899,"H5N4"
2021-03-09,"Ciconia ciconia","France","H5N8","woah",1,"c(3923452.78556416, 2948701.08847936)",3923452.78556416,2948701.08847936,"H5N8"
2021-03-12,"Cygnus olor","France","H5N8","woah",1,"c(4131333.1022494, 2796332.68222331)",4131333.1022494,2796332.68222331,"H5N8"
2021-03-09,"Cygnus olor","Estonia","H5N8","woah",1,"c(5096130.49230881, 4090781.14712231)",5096130.49230881,4090781.14712231,"H5N8"
2021-03-08,"Cygnus olor","Estonia","H5N8","woah",1,"c(5275884.47289501, 4152069.70127813)",5275884.47289501,4152069.70127813,"H5N8"
2021-03-04,"Cygnus olor","Estonia","H5N8","woah",1,"c(5154411.84426809, 4133369.18606863)",5154411.84426809,4133369.18606863,"H5N8"
2021-03-18,"Bucephala clangula","Sweden","H5N5","woah",1,"c(4513035.08413786, 3625248.83636126)",4513035.08413786,3625248.83636126,"H5N5"
2021-03-01,"Circus aeruginosus","Sweden","H5N8","woah",1,"c(4637545.83980654, 3944335.03136175)",4637545.83980654,3944335.03136175,"H5N8"
2021-03-16,"Cygnus cygnus","Sweden","H5N8","woah",1,"c(4762227.45706217, 4106183.81940498)",4762227.45706217,4106183.81940498,"H5N8"
2021-03-16,"Corvus monedula","Sweden","H5N8","woah",1,"c(4625945.01765936, 3935468.71883857)",4625945.01765936,3935468.71883857,"H5N8"
2021-03-07,"Falco peregrinus","Sweden","H5N8","woah",1,"c(4517756.51351769, 3641993.51182576)",4517756.51351769,3641993.51182576,"H5N8"
2021-03-07,"Accipiter gentilis","Sweden","H5N8","woah",1,"c(4511530.31317625, 3629317.60571863)",4511530.31317625,3629317.60571863,"H5N8"
2021-02-21,"Anas platyrhynchos","Sweden","H5N8","woah",1,"c(4452169.11755905, 3803727.23886267)",4452169.11755905,3803727.23886267,"H5N8"
2021-03-02,"Cygnus olor","Lithuania","H5N8","woah",1,"c(5211267.6552661, 3616544.01430704)",5211267.6552661,3616544.01430704,"H5N8"
2021-03-02,"Cygnus olor","Lithuania","H5N8","woah",1,"c(5018290.17837526, 3677055.15894946)",5018290.17837526,3677055.15894946,"H5N8"
2021-03-22,"Cygnus olor","Lithuania","H5N8","woah",1,"c(5307958.43290923, 3586625.76391457)",5307958.43290923,3586625.76391457,"H5N8"
2021-03-22,"Cygnus olor","Lithuania","H5N8","woah",1,"c(5204560.82772188, 3618071.8970095)",5204560.82772188,3618071.8970095,"H5N8"
