"","observation.date","Species","Country","Serotype","source","flu","geometry","X","Y"
"93",2023-07-04,"Mediterranean Gull ","France","H5N1 HPAI","fao",1,c(3724711.53632796, 2679734.99263915),3724711.53632796,2679734.99263915
"94",2023-07-04,"Black Headed Gull (Chroicocephalus Ridibundus)","France","H5N1 HPAI","fao",1,c(3404751.92308808, 2768775.09845954),3404751.92308808,2768775.09845954
"95",2023-07-04,"Common Tern (Sterna Hirundo)","Spain","H5N1 HPAI","fao",1,c(3536659.22739891, 2023265.12514343),3536659.22739891,2023265.12514343
"96",2023-07-04,"White Tailed Eagle (Haliaeetus Albicilla)","Finland","H5N1 HPAI","fao",1,c(5162379.20980328, 4840303.14726668),5162379.20980328,4840303.14726668
"97",2023-07-03,"Chilean Flamingo (Phoenicopterus Chilensis)","Ireland","H5N1 HPAI","fao",1,c(3246013.96272409, 3481789.16721047),3246013.96272409,3481789.16721047
"98",2023-07-03,"Herring Gull:larus Argentatus(Laridae)","Latvia","H5N1 HPAI","fao",1,c(5166266.78060511, 3849890.89005615),5166266.78060511,3849890.89005615
"99",2023-07-03,"Black Headed Gull (Chroicocephalus Ridibundus)","Lithuania","H5N1 HPAI","fao",1,c(5307169.3841237, 3669184.97713169),5307169.3841237,3669184.97713169
"100",2023-07-03,"Black Headed Gull (Chroicocephalus Ridibundus)","Sweden","H5N1 HPAI","fao",1,c(4714571.23473972, 3730970.34290869),4714571.23473972,3730970.34290869
"101",2023-07-03,"Herring Gull:larus Argentatus(Laridae)","Sweden","H5N1 HPAI","fao",1,c(4714625.72180332, 3730978.79510487),4714625.72180332,3730978.79510487
"102",2023-07-03,"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes","Norway","H5N1 HPAI","fao",1,c(5049130.02314259, 5382748.69032714),5049130.02314259,5382748.69032714
"104",2023-07-03,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4125326.85242039, 3382008.72943213),4125326.85242039,3382008.72943213
"105",2023-07-03,"Peregrin Falcon:falco Peregrinus(Falconidae)","Belgium","H5N1 HPAI","fao",1,c(3974249.60025773, 3109298.1451056),3974249.60025773,3109298.1451056
"106",2023-07-03,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4480091.23824906, 3131262.0027837),4480091.23824906,3131262.0027837
"107",2023-07-03,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4640465.80545349, 3137683.24073921),4640465.80545349,3137683.24073921
"108",2023-07-03,"Common Murre (Uria Aalge) ","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3357758.13529749, 3445312.92003762),3357758.13529749,3445312.92003762
"109",2023-07-03,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4246678.3229184, 3460963.53343589),4246678.3229184,3460963.53343589
"110",2023-07-03,"Fox","Finland","H5N1 HPAI","fao",1,c(5019281.35779883, 4561371.05832222),5019281.35779883,4561371.05832222
"111",2023-07-03,"Fox","Finland","H5N1 HPAI","fao",1,c(5005574.15360946, 4563333.53391787),5005574.15360946,4563333.53391787
"112",2023-07-03,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4472231.73287982, 3391428.7069372),4472231.73287982,3391428.7069372
"113",2023-07-03,"Black Headed Gull (Chroicocephalus Ridibundus)","France","H5N1 HPAI","fao",1,c(3416437.38351077, 2685161.11817792),3416437.38351077,2685161.11817792
"114",2023-07-03,"Sandwich Tern","France","H5N1 HPAI","fao",1,c(3438189.88233615, 2906537.46810955),3438189.88233615,2906537.46810955
"115",2023-07-03,"Sandwich Tern","France","H5N1 HPAI","fao",1,c(3262899.8220748, 2878152.13352486),3262899.8220748,2878152.13352486
"116",2023-07-03,"Black Headed Gull (Chroicocephalus Ridibundus)","France","H5N1 HPAI","fao",1,c(3255783.98590379, 2895595.93648494),3255783.98590379,2895595.93648494
"117",2023-07-03,"Black Headed Gull (Chroicocephalus Ridibundus)","France","H5N1 HPAI","fao",1,c(3323187.32025977, 2933668.77723513),3323187.32025977,2933668.77723513
"118",2023-07-03,"Arctic Skua (Or Parasitic Jaeger)","France","H5N1 HPAI","fao",1,c(3412439.40275977, 2735051.11159444),3412439.40275977,2735051.11159444
"119",2023-07-03,"Mediterranean Gull ","France","H5N1 HPAI","fao",1,c(3727738.74359701, 2705776.20084233),3727738.74359701,2705776.20084233
"120",2023-07-03,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4289474.52367886, 3484966.16294126),4289474.52367886,3484966.16294126
"121",2023-07-02,"Common Tern (Sterna Hirundo)","Belgium","H5N1 HPAI","fao",1,c(3853965.65002801, 3159456.08358887),3853965.65002801,3159456.08358887
"123",2023-07-01,"Black Headed Gull (Chroicocephalus Ridibundus)","Sweden","H5N1 HPAI","fao",1,c(4500738.25359532, 3593549.63840471),4500738.25359532,3593549.63840471
"125",2023-07-01,"Herring Gull:larus Argentatus(Laridae)","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3561364.67406558, 3708670.22766502),3561364.67406558,3708670.22766502
"126",2023-07-01,"Common Murre (Uria Aalge) ","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3561364.67406558, 3708670.22766502),3561364.67406558,3708670.22766502
"127",2023-07-01,"Black-Legged Kittiwake (Rissa Tridactyla):Laridae-Charadriiformes","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3561364.67406558, 3708670.22766502),3561364.67406558,3708670.22766502
"128",2023-06-30,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Russian Federation","H5N1 HPAI","fao",1,c(6741245.70106846, 4906429.88724458),6741245.70106846,4906429.88724458
"130",2023-06-30,"Kite","Ireland","H5N1 HPAI","fao",1,c(3247967.8140966, 3427489.56593055),3247967.8140966,3427489.56593055
"131",2023-06-30,"Kite","Ireland","H5N1 HPAI","fao",1,c(3239622.44005341, 3427096.35751238),3239622.44005341,3427096.35751238
"132",2023-06-30,"Common Tern (Sterna Hirundo)","Ireland","H5N1 HPAI","fao",1,c(3211983.239782, 3357797.00711243),3211983.239782,3357797.00711243
"133",2023-06-30,"Mew Gull (Larus Canus)","Sweden","H5N1 HPAI","fao",1,c(4489738.96611996, 3661922.1332894),4489738.96611996,3661922.1332894
"134",2023-06-30,"Common Tern (Sterna Hirundo)","Belgium","H5N1 HPAI","fao",1,c(3821544.42735776, 3144598.44885178),3821544.42735776,3144598.44885178
"135",2023-06-30,"Mediterranean Gull ","Belgium","H5N1 HPAI","fao",1,c(3849224.65695101, 3157370.22973265),3849224.65695101,3157370.22973265
"136",2023-06-30,"Sandwich Tern","Belgium","H5N1 HPAI","fao",1,c(3849224.65695101, 3157370.22973265),3849224.65695101,3157370.22973265
"137",2023-06-30,"Black Headed Gull (Chroicocephalus Ridibundus)","Belgium","H5N1 HPAI","fao",1,c(3849224.65695101, 3157370.22973265),3849224.65695101,3157370.22973265
"138",2023-06-30,"Common Tern (Sterna Hirundo)","Belgium","H5N1 HPAI","fao",1,c(3849224.65695101, 3157370.22973265),3849224.65695101,3157370.22973265
"139",2023-06-30,"Black Headed Gull (Chroicocephalus Ridibundus)","Sweden","H5N1 HPAI","fao",1,c(4748790.44429573, 4101252.77024468),4748790.44429573,4101252.77024468
"140",2023-06-30,"Common Eider (Somateria Mollissima)","Sweden","H5N1 HPAI","fao",1,c(4750477.9618332, 4109447.95873803),4750477.9618332,4109447.95873803
"141",2023-06-30,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","U.K. of Great Britain and Northern Ireland","H5N1 HPAI","fao",1,c(3579092.52610469, 3905949.75032378),3579092.52610469,3905949.75032378
"142",2023-06-30,"Fox","Finland","H5N1 HPAI","fao",1,c(4983292.56082607, 4526384.23610653),4983292.56082607,4526384.23610653
"143",2023-06-30,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4491460.4858187, 3398198.74382866),4491460.4858187,3398198.74382866
"144",2023-06-29,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,c(4400395.2598664, 3430994.72489967),4400395.2598664,3430994.72489967
